CustomerID,Lookalikes
C0001,"[('C0164', 0.9999247622065321), ('C0085', 0.9995960737406713), ('C0127', 0.9995685864384749)]"
C0002,"[('C0157', 0.9999942123711493), ('C0094', 0.9998276141994118), ('C0029', 0.999824813313627)]"
C0003,"[('C0111', 0.9956161658685471), ('C0160', 0.9891985743778676), ('C0147', 0.9860269354916192)]"
C0004,"[('C0162', 0.9999998954114412), ('C0165', 0.9999644203456909), ('C0175', 0.9985900927155296)]"
C0005,"[('C0080', 0.9999807052404533), ('C0167', 0.9999735069046766), ('C0177', 0.9999286914543088)]"
C0006,"[('C0079', 0.9999729767790428), ('C0117', 0.9966006126920676), ('C0196', 0.9923079251591572)]"
C0007,"[('C0146', 0.9999892184641412), ('C0125', 0.999785998215434), ('C0061', 0.9996884488742619)]"
C0008,"[('C0109', 0.9997940697240109), ('C0136', 0.9995380903473348), ('C0124', 0.998847235575458)]"
C0009,"[('C0015', 0.9999998323070831), ('C0131', 0.9999970969653273), ('C0193', 0.9999920000374725)]"
C0010,"[('C0176', 0.9980107326194382), ('C0027', 0.9940979502679278), ('C0055', 0.9771402135842614)]"
C0011,"[('C0139', 0.999521575865666), ('C0096', 0.9993270024800897), ('C0171', 0.9980219188436078)]"
C0012,"[('C0101', 0.9999591900113063), ('C0156', 0.9998737484945023), ('C0093', 0.9998457514670662)]"
C0013,"[('C0067', 0.9999762846412198), ('C0138', 0.9998236512810545), ('C0141', 0.9997521601730673)]"
C0014,"[('C0192', 0.9999987869552462), ('C0159', 0.9999986053609479), ('C0186', 0.9999778895603455)]"
C0015,"[('C0009', 0.9999998323070831), ('C0131', 0.999998324719213), ('C0120', 0.9999931741036725)]"
C0016,"[('C0154', 0.9997996887384316), ('C0026', 0.9993551612695444), ('C0040', 0.9961169900245138)]"
C0017,"[('C0075', 0.99999990830547), ('C0179', 0.9999774106366431), ('C0039', 0.9997595619964608)]"
C0018,"[('C0045', 0.9999969224460111), ('C0041', 0.9997684417652772), ('C0068', 0.9994197410253304)]"
C0019,"[('C0142', 0.9998880084422653), ('C0174', 0.9996254971535451), ('C0076', 0.9990171747589464)]"
C0020,"[('C0058', 0.9999997765161889), ('C0193', 0.9999994388278662), ('C0198', 0.9999982875594068)]"
